assignment_id,user_id,experiment_id,experiment_name,variant,assigned_at
ab_a73f0d2ec786,usr_1ec1d384a874,exp_202501,pricing_ab,A,2025-05-03 01:02:54
ab_6cc73772786e,usr_c29f39256852,exp_202501,pricing_ab,B,2025-05-04 21:00:22
ab_47359ad749d8,usr_e207b260858b,exp_202501,pricing_ab,B,2025-05-04 04:46:04
ab_7bda6bab138f,usr_ad5bece39905,exp_202501,pricing_ab,B,2025-05-04 03:32:19
ab_e9a1edaaccbb,usr_bf6556baaada,exp_202501,pricing_ab,B,2025-05-04 12:09:23
ab_68dd53d61185,usr_405aa33053bd,exp_202501,pricing_ab,B,2025-05-04 01:37:03
ab_e5e1ac9cbeb5,usr_34d46f2961b8,exp_202501,pricing_ab,A,2025-05-04 13:12:19
ab_dec602966f9a,usr_160534f34d51,exp_202501,pricing_ab,A,2025-05-04 10:39:34
ab_d2bd75208860,usr_5ac09074dea4,exp_202501,pricing_ab,B,2025-05-04 08:45:01
ab_5878488e6a79,usr_893f2052411e,exp_202501,pricing_ab,A,2025-05-04 07:37:37
ab_49a78fa4f277,usr_7a6826ef5cd2,exp_202501,pricing_ab,B,2025-05-04 09:23:11
ab_73d8d79e4735,usr_261d1ffd758d,exp_202501,pricing_ab,B,2025-05-04 06:49:04
ab_355635ebe8af,usr_f5c9cb24c807,exp_202501,pricing_ab,A,2025-05-04 21:38:28
ab_20c6e587eade,usr_abf8ddcc4222,exp_202501,pricing_ab,B,2025-05-04 17:43:54
ab_757061c5c786,usr_35ad5bd3eb4b,exp_202501,pricing_ab,A,2025-05-04 23:07:00
ab_a507bff3cf25,usr_d8ca7c9e7cb5,exp_202501,pricing_ab,A,2025-05-04 21:45:33
ab_cba0e404b52d,usr_d19c3bcb1a40,exp_202501,pricing_ab,B,2025-05-04 08:36:45
ab_95449c3984d2,usr_da4fc501c937,exp_202501,pricing_ab,B,2025-05-04 11:14:07
ab_4df1192152aa,usr_bd7c45975457,exp_202501,pricing_ab,A,2025-05-04 10:04:38
ab_44a88cf62fee,usr_7aeb432809d4,exp_202501,pricing_ab,B,2025-05-04 06:17:43
ab_f863171cb1d3,usr_260e97f3a20e,exp_202501,pricing_ab,A,2025-05-04 08:48:43
ab_25276507f441,usr_de1fc9bc2847,exp_202501,pricing_ab,A,2025-05-04 21:48:55
ab_7a8629364e75,usr_950ef1da9d7e,exp_202501,pricing_ab,B,2025-05-04 18:18:29
ab_afa12edc498a,usr_59339a947cb1,exp_202501,pricing_ab,B,2025-05-05 10:28:33
ab_00de9f9485bb,usr_83911c40f2e0,exp_202501,pricing_ab,A,2025-05-05 12:21:52
ab_9c5879ae87b6,usr_752096f8d304,exp_202501,pricing_ab,A,2025-05-05 15:25:27
ab_143220c05d49,usr_9e0d73fc3ff1,exp_202501,pricing_ab,B,2025-05-05 21:21:55
ab_1fe2a8977def,usr_a197c57135f6,exp_202501,pricing_ab,A,2025-05-05 16:06:28
ab_fef6d20de437,usr_eeceb2df1af6,exp_202501,pricing_ab,A,2025-05-05 20:14:08
ab_e405811895d1,usr_a79c1beae669,exp_202501,pricing_ab,A,2025-05-05 02:49:53
ab_be0f2b4d69f9,usr_e01b0752b084,exp_202501,pricing_ab,B,2025-05-05 12:46:04
ab_eb0cf6f8a0b7,usr_120291fb71d8,exp_202501,pricing_ab,B,2025-05-05 09:20:13
ab_bc05353cfb86,usr_e34acc16634a,exp_202501,pricing_ab,B,2025-05-05 01:49:14
ab_dafdf5e7257f,usr_663e70f72992,exp_202501,pricing_ab,A,2025-05-05 13:05:16
ab_3d8466a65f86,usr_9d5726e0adba,exp_202501,pricing_ab,A,2025-05-05 23:35:12
ab_1b8527b50a40,usr_981cc4fd0d7c,exp_202501,pricing_ab,A,2025-05-05 14:23:49
ab_aa3121a2d49f,usr_f99d777375c2,exp_202501,pricing_ab,A,2025-05-05 17:45:28
ab_2fdca470b3d9,usr_64131508a11e,exp_202501,pricing_ab,A,2025-05-05 09:03:51
ab_337c2b498b02,usr_380536d0e718,exp_202501,pricing_ab,B,2025-05-05 00:56:31
ab_258308a5eef9,usr_fda9ca78a6f6,exp_202501,pricing_ab,B,2025-05-05 06:39:24
ab_447f841afd22,usr_0a19b8c29bc7,exp_202501,pricing_ab,A,2025-05-05 14:38:57
ab_9639eeaf7172,usr_857671a16a4f,exp_202501,pricing_ab,A,2025-05-05 07:12:01
ab_ee143e22b870,usr_89d65c2f8047,exp_202501,pricing_ab,B,2025-05-05 09:38:33
ab_cf092defd82f,usr_498a9c803b66,exp_202501,pricing_ab,B,2025-05-05 11:56:35
ab_41690164bb7d,usr_0cf765fb6251,exp_202501,pricing_ab,A,2025-05-05 08:35:48
ab_aed8b23be30f,usr_118c4697ed95,exp_202501,pricing_ab,B,2025-05-05 22:18:40
ab_d65791abdb43,usr_95223ddb29ae,exp_202501,pricing_ab,B,2025-05-05 15:31:33
ab_121c4b658419,usr_eb99ba5e89c5,exp_202501,pricing_ab,A,2025-05-05 11:53:09
ab_dbaeb8d0deae,usr_653dc5d2cc1e,exp_202501,pricing_ab,A,2025-05-05 08:19:12
ab_065bbf04c609,usr_21ef3e26fa7a,exp_202501,pricing_ab,A,2025-05-05 03:07:45
ab_1e954eb12d56,usr_99f0d4ba7101,exp_202501,pricing_ab,B,2025-05-05 01:52:13
ab_7c0828e869f2,usr_6cd5b98a3ccd,exp_202501,pricing_ab,A,2025-05-05 00:12:57
ab_95694f040e6b,usr_bba014310af1,exp_202501,pricing_ab,A,2025-05-06 23:34:36
ab_a42da5c80a7e,usr_6c8445700e67,exp_202501,pricing_ab,A,2025-05-06 01:34:40
ab_2d5f7bd8df28,usr_7f487f36c99b,exp_202501,pricing_ab,B,2025-05-06 10:44:35
ab_9bd44605c48e,usr_148ebdf6ebc6,exp_202501,pricing_ab,B,2025-05-06 04:23:04
ab_0f05d6720808,usr_f04e96aab98e,exp_202501,pricing_ab,B,2025-05-06 15:03:35
ab_5cc077caa8a7,usr_384a87b5eb70,exp_202501,pricing_ab,B,2025-05-06 23:37:41
ab_887acd979906,usr_e97a227cac29,exp_202501,pricing_ab,B,2025-05-06 18:10:19
ab_2027e3e022ae,usr_cc723968b9d9,exp_202501,pricing_ab,A,2025-05-06 12:21:21
ab_513cdbc0f89d,usr_047ca6aab648,exp_202501,pricing_ab,A,2025-05-06 21:30:15
ab_b50b30b2422d,usr_26d9fb287e93,exp_202501,pricing_ab,A,2025-05-06 21:52:31
ab_fbbb43621dc4,usr_0aea4ed98983,exp_202501,pricing_ab,A,2025-05-06 13:53:03
ab_4e7aecc6ee37,usr_30bdcc6ce00a,exp_202501,pricing_ab,A,2025-05-06 17:09:11
ab_ebf4ee09834c,usr_97063dc50e69,exp_202501,pricing_ab,A,2025-05-06 06:19:00
ab_2bc65c6a5cf5,usr_4643ca19c502,exp_202501,pricing_ab,A,2025-05-06 17:48:16
ab_ea9915fd3123,usr_1e5ef92c90ff,exp_202501,pricing_ab,B,2025-05-06 05:09:17
ab_7cc46dfd5203,usr_19ba9c4dd278,exp_202501,pricing_ab,B,2025-05-06 07:18:16
ab_f42ca67f962c,usr_e00efdacd175,exp_202501,pricing_ab,B,2025-05-06 16:54:57
ab_6086ec7a70e1,usr_127f592208ed,exp_202501,pricing_ab,B,2025-05-06 15:46:55
ab_e6a9789bdd63,usr_d339f34bf08b,exp_202501,pricing_ab,A,2025-05-06 23:35:16
ab_c503adf98a77,usr_5ce14853ab0a,exp_202501,pricing_ab,A,2025-05-06 19:01:27
ab_e031a950ba8e,usr_8c17637f470b,exp_202501,pricing_ab,A,2025-05-06 13:12:08
ab_daa93204ec77,usr_2927e4123ae9,exp_202501,pricing_ab,B,2025-05-06 10:51:49
ab_7186fbf6005c,usr_d4bd6f3ade0b,exp_202501,pricing_ab,B,2025-05-06 18:29:18
ab_2ae467ea6eb9,usr_49841c43379d,exp_202501,pricing_ab,A,2025-05-06 06:56:20
ab_0cc05fefd203,usr_749e883b0719,exp_202501,pricing_ab,A,2025-05-06 17:26:44
ab_08fff01fb482,usr_786cdd00ceb3,exp_202501,pricing_ab,B,2025-05-06 15:20:56
ab_0d8b20a1cb90,usr_315b07685854,exp_202501,pricing_ab,A,2025-05-06 14:58:27
ab_08ebfe6a1f42,usr_eb969511adef,exp_202501,pricing_ab,A,2025-05-07 12:53:21
ab_b7c96ff6065e,usr_e7154bddd6f5,exp_202501,pricing_ab,A,2025-05-07 00:22:16
ab_c3fead9e92e8,usr_a3b37382f128,exp_202501,pricing_ab,B,2025-05-07 05:12:52
ab_8f9c8ab84d14,usr_83e33bcfa5bd,exp_202501,pricing_ab,B,2025-05-07 22:54:06
ab_2a2b6f60381c,usr_45a86729287d,exp_202501,pricing_ab,B,2025-05-07 09:39:10
ab_e444db148be5,usr_191c689dbaf1,exp_202501,pricing_ab,B,2025-05-07 12:08:00
ab_11c28643b0f9,usr_fce8963742cc,exp_202501,pricing_ab,A,2025-05-07 22:34:44
ab_330dad842670,usr_aaae5f7c8609,exp_202501,pricing_ab,A,2025-05-07 15:37:04
ab_bb26aa153599,usr_d5063e1436db,exp_202501,pricing_ab,A,2025-05-07 19:10:23
ab_e2b325a7c52d,usr_7ef36ebc22c9,exp_202501,pricing_ab,A,2025-05-07 04:17:57
ab_975d4c508849,usr_dabde8f62198,exp_202501,pricing_ab,A,2025-05-07 18:03:01
ab_aa7b29feaf14,usr_48216d1354c3,exp_202501,pricing_ab,A,2025-05-07 21:58:04
ab_d623c2ddd93a,usr_85cb85f6309b,exp_202501,pricing_ab,B,2025-05-07 10:34:38
ab_b6149f3c37ad,usr_f4be297415dd,exp_202501,pricing_ab,A,2025-05-07 05:21:08
ab_1c03cd52efc0,usr_5b86b0d1b0b4,exp_202501,pricing_ab,A,2025-05-07 04:20:46
ab_28fed289f8fa,usr_90da14027f8e,exp_202501,pricing_ab,B,2025-05-07 12:52:05
ab_38f303e9f112,usr_d7a8e0abb2d4,exp_202501,pricing_ab,B,2025-05-07 08:16:12
ab_ec05026d9c0e,usr_31f5ae05e390,exp_202501,pricing_ab,A,2025-05-07 00:07:01
ab_1bf35af9804e,usr_31ee94097a0a,exp_202501,pricing_ab,A,2025-05-07 13:20:31
ab_315d2173528d,usr_d229acdac032,exp_202501,pricing_ab,B,2025-05-07 08:14:22
ab_06bd1f4ccd36,usr_7cb365c8056f,exp_202501,pricing_ab,B,2025-05-07 10:39:11
ab_a6444f11d0ba,usr_85afc4f050ab,exp_202501,pricing_ab,B,2025-05-07 21:58:17
ab_9898c2747e6a,usr_53c883a50e19,exp_202501,pricing_ab,A,2025-05-07 21:30:29
ab_a6b427104a5e,usr_876a523d0874,exp_202501,pricing_ab,B,2025-05-07 04:05:05
ab_36cb7b530da4,usr_03694da70c22,exp_202501,pricing_ab,A,2025-05-07 12:28:43
ab_0e28fa912bee,usr_31938d7f8e13,exp_202501,pricing_ab,B,2025-05-07 13:13:43
ab_e0301bf1c17d,usr_03b6502e5be4,exp_202501,pricing_ab,A,2025-05-07 17:31:46
ab_c860e2cd0c80,usr_719ae36adc43,exp_202501,pricing_ab,B,2025-05-07 15:05:23
ab_0fa4a5470faf,usr_c0007a3950d1,exp_202501,pricing_ab,A,2025-05-08 22:26:57
ab_4829789aa8a4,usr_07d838de3b34,exp_202501,pricing_ab,A,2025-05-08 16:46:57
ab_98add042ede5,usr_8c75af9f8f24,exp_202501,pricing_ab,A,2025-05-08 19:29:41
ab_05f7684844e1,usr_7f1790b9145c,exp_202501,pricing_ab,A,2025-05-08 04:06:25
ab_5a8e8a5fa3eb,usr_79ae10e66de8,exp_202501,pricing_ab,B,2025-05-08 15:53:05
ab_fad8514e29e7,usr_bf67093e94cf,exp_202501,pricing_ab,A,2025-05-08 23:27:29
ab_dd1ac9ac51e2,usr_25d733e339e2,exp_202501,pricing_ab,B,2025-05-08 13:33:40
ab_53de16e86fe9,usr_4c6672728169,exp_202501,pricing_ab,A,2025-05-08 00:20:00
ab_8ac12295fa7f,usr_10745b1307bc,exp_202501,pricing_ab,B,2025-05-08 23:30:38
ab_8d1625e3ea2c,usr_cd7db685f93d,exp_202501,pricing_ab,A,2025-05-08 02:38:06
ab_18cb18204e20,usr_5189460e99c4,exp_202501,pricing_ab,A,2025-05-08 12:42:22
ab_c902ab13a4d8,usr_5a03fb59229f,exp_202501,pricing_ab,A,2025-05-08 05:15:36
ab_9d89a16d1d8c,usr_c6d1fb1c6306,exp_202501,pricing_ab,B,2025-05-08 21:27:35
ab_d93f413f79f3,usr_fa45c0646218,exp_202501,pricing_ab,B,2025-05-08 00:22:17
ab_a152a41007e1,usr_d83b250030e6,exp_202501,pricing_ab,B,2025-05-08 10:52:07
ab_ca320eccce1c,usr_3ca24c244751,exp_202501,pricing_ab,A,2025-05-08 22:01:46
ab_8d0c18f974c9,usr_1f6a26540f05,exp_202501,pricing_ab,B,2025-05-08 23:42:55
ab_984266270ca7,usr_c2318bea4448,exp_202501,pricing_ab,A,2025-05-08 15:44:43
ab_146726c82af0,usr_16a114a57db3,exp_202501,pricing_ab,A,2025-05-08 16:49:30
ab_810fad14914e,usr_9a466ec794f4,exp_202501,pricing_ab,A,2025-05-08 15:35:55
ab_4bc41bc59b51,usr_f70e82964919,exp_202501,pricing_ab,B,2025-05-08 15:38:00
ab_d0e6892c55db,usr_43b521ef8d91,exp_202501,pricing_ab,B,2025-05-08 20:33:25
ab_f0f2c5cd58e3,usr_882ef9decc4b,exp_202501,pricing_ab,B,2025-05-08 00:36:19
ab_0fead6c99391,usr_98694e2e9dd0,exp_202501,pricing_ab,A,2025-05-08 21:54:04
ab_370c3875a773,usr_8875f1586849,exp_202501,pricing_ab,B,2025-05-08 15:46:19
ab_2be12a7eb2db,usr_950f1f816d50,exp_202501,pricing_ab,B,2025-05-08 23:55:59
ab_ef05e0baefd5,usr_cccd71b3e7be,exp_202501,pricing_ab,B,2025-05-08 07:56:00
ab_b0fc9a99cf18,usr_d02fcd583669,exp_202501,pricing_ab,B,2025-05-08 15:21:51
ab_c3b4e76baf1b,usr_5a23d6d568d0,exp_202501,pricing_ab,A,2025-05-08 19:17:48
ab_0413387ff940,usr_a8659d236045,exp_202501,pricing_ab,A,2025-05-08 02:36:26
ab_9ca8adf66a5a,usr_9b055a89cf8e,exp_202501,pricing_ab,A,2025-05-08 03:41:40
ab_aeec4e88ab03,usr_3443add6736c,exp_202501,pricing_ab,B,2025-05-08 03:24:41
ab_ca7c1e6e7104,usr_4051514e07e2,exp_202501,pricing_ab,B,2025-05-08 05:05:39
ab_933f44d53d9a,usr_6fc2543d1a88,exp_202501,pricing_ab,A,2025-05-09 05:46:52
ab_053726b023cd,usr_84533a18844a,exp_202501,pricing_ab,B,2025-05-09 16:13:57
ab_debe054cc547,usr_8cb345923104,exp_202501,pricing_ab,A,2025-05-09 21:01:02
ab_a52f46581b56,usr_fdc22f557415,exp_202501,pricing_ab,A,2025-05-09 23:48:29
ab_7b8394a3dfec,usr_0ed7e36da9c3,exp_202501,pricing_ab,A,2025-05-09 04:13:02
ab_c5bc6575ae15,usr_55551d7ca517,exp_202501,pricing_ab,A,2025-05-09 03:43:32
ab_1e3735a90280,usr_067c6dcaba48,exp_202501,pricing_ab,A,2025-05-09 14:50:18
ab_f9ff0862dbfa,usr_8f929785eb14,exp_202501,pricing_ab,B,2025-05-09 11:20:15
ab_78eb2a7598ab,usr_b8cee9d41b73,exp_202501,pricing_ab,A,2025-05-09 09:28:07
ab_74d679b67680,usr_7dc8fae31d2f,exp_202501,pricing_ab,B,2025-05-09 16:32:30
ab_67fc41f6b26f,usr_791431f09922,exp_202501,pricing_ab,B,2025-05-09 17:28:58
ab_96ad208d0f53,usr_f10cf43db55a,exp_202501,pricing_ab,B,2025-05-09 02:04:18
ab_21ecd2728489,usr_da08a6a30ebb,exp_202501,pricing_ab,B,2025-05-09 05:38:05
ab_3edee141977b,usr_22fe2381adb8,exp_202501,pricing_ab,A,2025-05-09 02:12:56
ab_e6473ab6972f,usr_e2f29d811f93,exp_202501,pricing_ab,A,2025-05-09 20:12:23
ab_5212bc9f6590,usr_90c1beb1fc91,exp_202501,pricing_ab,B,2025-05-09 15:18:49
ab_450851e776af,usr_52a451e4a21d,exp_202501,pricing_ab,B,2025-05-09 14:00:49
ab_feb8a32513dd,usr_8ff2b67f4869,exp_202501,pricing_ab,B,2025-05-09 09:57:58
ab_63ecff79a9a3,usr_ea03c374f762,exp_202501,pricing_ab,B,2025-05-09 01:43:22
ab_991cdf9b9ece,usr_7b5da3fd3b12,exp_202501,pricing_ab,B,2025-05-09 08:29:16
ab_a3d7bad15409,usr_9303c19fce76,exp_202501,pricing_ab,B,2025-05-09 16:47:32
ab_19646ead10c7,usr_bee7116da9bf,exp_202501,pricing_ab,B,2025-05-09 18:59:24
ab_5d0b817d0e2a,usr_e7e538fb09b1,exp_202501,pricing_ab,B,2025-05-09 17:52:54
ab_333566f41f82,usr_5dcfe27a59ed,exp_202501,pricing_ab,A,2025-05-09 22:25:02
ab_895d1c8d7aff,usr_6f6b72479d48,exp_202501,pricing_ab,B,2025-05-09 04:44:09
ab_ba204997eb3f,usr_be8ad994120e,exp_202501,pricing_ab,B,2025-05-09 13:26:09
ab_55bb64cc88c1,usr_0f08909f2f04,exp_202501,pricing_ab,A,2025-05-09 23:28:24
ab_4c20b5eba3b9,usr_9c321df8cdd9,exp_202501,pricing_ab,A,2025-05-10 03:44:24
ab_eae28e203cd8,usr_02e39bb6863d,exp_202501,pricing_ab,B,2025-05-10 00:15:55
ab_006055f5850c,usr_16a29e9e8e0c,exp_202501,pricing_ab,B,2025-05-10 01:30:59
ab_b165b2491ff2,usr_68067cd91370,exp_202501,pricing_ab,A,2025-05-10 03:09:29
ab_0db2b401ce1b,usr_9d20f4ceb3a3,exp_202501,pricing_ab,A,2025-05-10 07:16:39
ab_7b2a76554661,usr_91f350ccdda0,exp_202501,pricing_ab,A,2025-05-10 12:26:04
ab_ca76e1465807,usr_7be37a1511d0,exp_202501,pricing_ab,B,2025-05-10 16:52:28
ab_a812496d4909,usr_783b7800c496,exp_202501,pricing_ab,B,2025-05-10 17:38:26
ab_94b3fe4ec1e6,usr_f494166c3945,exp_202501,pricing_ab,A,2025-05-10 06:08:14
ab_44b341f91fe3,usr_34e0ae4898ab,exp_202501,pricing_ab,B,2025-05-10 07:47:33
ab_f693ff3df2f8,usr_8310226ee214,exp_202501,pricing_ab,B,2025-05-10 18:43:28
ab_821b944bf260,usr_80059928f187,exp_202501,pricing_ab,A,2025-05-10 20:55:36
ab_b362ff0d3fef,usr_1ef36ba9eff6,exp_202501,pricing_ab,A,2025-05-10 04:46:37
ab_db1f87ecbb3b,usr_4d0d8129f3ef,exp_202501,pricing_ab,A,2025-05-10 07:30:37
ab_81284243a29a,usr_755a9de8a799,exp_202501,pricing_ab,A,2025-05-10 20:31:53
ab_31b6d190e006,usr_681d823e40f6,exp_202501,pricing_ab,A,2025-05-10 10:16:47
ab_f584e533d9eb,usr_a08afc574895,exp_202501,pricing_ab,B,2025-05-10 10:41:58
ab_8e20a0ad02b0,usr_1ad4ab72b756,exp_202501,pricing_ab,B,2025-05-10 14:00:28
ab_5c5857432bc1,usr_202107821633,exp_202501,pricing_ab,A,2025-05-10 05:38:13
ab_3ff37415b924,usr_61b46d0cc300,exp_202501,pricing_ab,A,2025-05-10 09:02:37
ab_4b92fff51508,usr_861d1c85460b,exp_202501,pricing_ab,A,2025-05-10 11:49:47
ab_372a7ca090f6,usr_4298a22c29bb,exp_202501,pricing_ab,A,2025-05-10 07:42:11
ab_6c7610c3e6ef,usr_c1f3bf9ff6c9,exp_202501,pricing_ab,A,2025-05-10 05:32:05
ab_9b7b71587673,usr_142fb0972b8f,exp_202501,pricing_ab,B,2025-05-10 12:50:33
ab_e4a1f23f6a68,usr_40fbf60c60e0,exp_202501,pricing_ab,B,2025-05-10 11:52:27
ab_097619020713,usr_34dd6d7da1d1,exp_202501,pricing_ab,B,2025-05-10 08:06:59
ab_c5db0ecdce23,usr_a1a2c0581198,exp_202501,pricing_ab,B,2025-05-10 05:09:30
ab_4f6c85ab963a,usr_3f154f5bb850,exp_202501,pricing_ab,B,2025-05-10 10:44:09
ab_35984fb4b0fd,usr_f6143f3233a8,exp_202501,pricing_ab,A,2025-05-10 05:30:06
ab_139c409df841,usr_d8ee78262436,exp_202501,pricing_ab,A,2025-05-10 02:37:11
ab_f2e37654ced7,usr_effc6b1f6469,exp_202501,pricing_ab,A,2025-05-11 06:18:59
ab_6106a835e3a8,usr_f599abdd19c4,exp_202501,pricing_ab,B,2025-05-11 04:58:23
ab_2fd92737f3da,usr_42c3cb40096a,exp_202501,pricing_ab,B,2025-05-11 02:42:29
